,'A2-A0CM-01A','A2-A0D0-01A','A2-A0D1-01A','A2-A0D2-01A','A2-A0EQ-01A','A2-A0EV-01A','A2-A0EX-01A','A2-A0EY-01A','A2-A0SW-01A','A2-A0SX-01A','A2-A0T1-01A','A2-A0T2-01A','A2-A0T3-01A','A2-A0T6-01A','A2-A0T7-01A','A2-A0YC-01A','A2-A0YD-01A','A2-A0YF-01A','A2-A0YG-01A','A2-A0YI-01A','A2-A0YL-01A','A7-A0CD-01A','A7-A0CE-01A','A7-A0CJ-01A','A7-A13F-01A','A8-A06N-01A','A8-A06Z-01A','A8-A076-01A','A8-A079-01A','A8-A09I-01A','AN-A04A-01A','AN-A0FK-01A','AN-A0FL-01A','AO-A03O-01A','AO-A0J6-01A','AO-A0J9-01A','AO-A0JE-01A','AO-A0JJ-01A','AO-A0JM-01A','AO-A126-01A','AO-A12B-01A','AO-A12D-01A','AO-A12E-01A','AR-A0TR-01A','AR-A0TT-01A','AR-A0TV-01A','AR-A0TX-01A','AR-A0TY-01A','AR-A0U4-01A','AR-A1AQ-01A','AR-A1AV-01A','AR-A1AW-01A','BH-A0AV-01A','BH-A0BV-01A','BH-A0BZ-01A','BH-A0C0-01A','BH-A0DD-01A','BH-A0DG-01A','BH-A0E0-01A','BH-A0E9-01A','BH-A18N-01A','BH-A18Q-01A','BH-A18R-01A','BH-A18U-01A','BH-A18V-01A','C8-A12L-01A','C8-A12P-01A','C8-A12Q-01A','C8-A12T-01A','C8-A12U-01A','C8-A12V-01A','C8-A12W-01A','C8-A12Z-01A','C8-A130-01A','C8-A131-01A','C8-A134-01A','C8-A135-01A','C8-A138-01A','D8-A13Y-01A','D8-A142-01A','E2-A10A-01A','E2-A150-01A','E2-A154-01A','E2-A159-01A','E2-A15A-01A'
Fraction_Nuclei,-6.652089481,2.368453747,-6.110441245,-2.677479804,0.436270199,-6.640256517,-1.300497898,6.337199822,21.35563519,1.440174088,-1.861685191,8.068508528,2.64401771,1.683685215,0.77954154,0.501000704,-6.322381876,14.90330327,8.261738766,10.1163039,-9.035457991,-1.622239067,-1.49748651,4.672250872,18.91777766,7.785012059,-4.910008507,-3.30299672,1.639839538,-7.351866341,-0.273406267,0.716706095,-3.145158148,12.72559736,-4.047174911,1.70119966,-5.33587336,2.360200961,-17.37510865,6.317592245,2.423736742,-0.108522933,-12.65523834,1.605063131,-11.99387056,-4.434904069,18.14683853,11.63613823,9.917872887,-2.108187214,0.045908053,-10.47701217,-1.605758868,-9.383912767,10.92942326,7.527390328,-7.389955726,-5.35529503,13.85871546,14.48055402,-2.316273375,-1.752528608,-11.31687614,2.182098836,6.203283496,9.549257581,-6.926559327,5.27892419,6.70793342,11.26606671,11.18308448,6.371166907,0.337438867,1.000032534,-2.705340668,-2.655275671,-12.66243084,-0.002200322,-11.28486855,-1.243582062,15.57955874,5.600392408,2.400210438,-5.628446731,-22.33937089
Mean_Distance_Fibroblast_Neigbour_Epi,0.676121239,0.573271983,0.646031805,0.608503646,0.52554583,0.53115248,0.517647628,0.482461722,0.646889038,0.717305045,0.79432944,0.550368234,0.554885144,0.533412862,0.554515819,0.463642229,0.502869474,0.652332227,0.539304437,0.560083209,0.498844135,0.675320008,0.994589822,0.678584144,0.665928043,0.516496388,0.847981964,0.674328009,0.94761723,0.576196443,0.506719033,0.763712897,0.505022176,0.491733928,0.819035342,0.725666146,0.530192761,0.542112657,0.620740861,0.645812568,0.712605633,0.921619405,1.145146838,0.670597222,0.501533741,0.478510252,0.709978377,0.443975819,0.510660235,0.693958197,0.66525801,0.717136571,0.589996228,0.435662275,0.565020818,0.53223188,0.569896096,0.542920247,0.529561905,0.551084298,0.630169737,0.605624799,0.736315767,0.646402141,0.58131812,0.90968673,0.907012082,0.952663366,0.795287115,1.268975774,0.551098631,0.615386555,0.719026774,0.665500043,0.543382514,0.642491839,0.594963296,0.592739649,0.632845635,0.597172379,1.183615246,0.67882258,0.794814349,0.594807518,0.655011416
Nuclei_Orientation,0.003654261,0.002940182,0.002494461,0.002965229,0.002902214,0.002631847,0.002315634,0.00244745,0.002809944,0.003602155,0.002791292,0.0024869,0.002325101,0.001671211,0.00249898,0.002386538,0.002024878,0.003407756,0.003119685,0.00194999,0.001925808,0.002492426,0.004564648,0.002708029,0.002766048,0.005086989,0.004660036,0.002797511,0.003710197,0.002709331,0.002623977,0.003331273,0.001634152,0.002577021,0.003896215,0.003539841,0.002219153,0.002352503,0.003238882,0.00322303,0.003762983,0.003355111,0.004607991,0.003278575,0.002033811,0.002637597,0.003123267,0.002506683,0.002211864,0.002641711,0.003568176,0.003692894,0.002759753,0.002301579,0.002265675,0.002718894,0.002929057,0.002398734,0.002026128,0.003034911,0.00326062,0.002817429,0.003559438,0.002916882,0.002770104,0.003806416,0.003841692,0.005113957,0.004125065,0.006067059,0.002607495,0.002465794,0.004023971,0.002714989,0.003074698,0.003485572,0.002447828,0.002572389,0.003575525,0.002385668,0.006711354,0.00312352,0.00368914,0.002529522,0.003341105
Nuclei_Perimeter,0.825738225,0.831343365,0.85049533,0.841385563,0.846396247,0.851838507,0.880128973,0.852592559,0.856366152,0.839807663,0.852816687,0.85973796,0.858565909,0.862568325,0.854469774,0.855916362,0.858796703,0.853499102,0.853736305,0.845630291,0.839062673,0.863859376,0.827300636,0.833393296,0.862940982,0.831242415,0.84886254,0.843515456,0.843411126,0.852025394,0.837176469,0.840662208,0.851207446,0.849853924,0.834565738,0.852305561,0.871865228,0.842407829,0.846867429,0.874987965,0.826414405,0.859739607,0.848219248,0.807275559,0.843802498,0.849708547,0.850108809,0.857939152,0.8303663,0.860996903,0.845024919,0.827176612,0.852587122,0.856492394,0.839915673,0.828442612,0.847642692,0.864551186,0.84954234,0.863502459,0.833033065,0.834027677,0.850003208,0.839691351,0.845567619,0.841364998,0.860353538,0.849771007,0.861908497,0.846575795,0.837147785,0.855453936,0.866199987,0.853183942,0.863717734,0.830869934,0.857134875,0.86545072,0.84490077,0.848428055,0.832819211,0.859766575,0.866761532,0.857780568,0.879665688
Nuclei_Solidity,20.5731791,16.2032191,15.79706204,17.63422678,16.97138065,14.95174059,12.53686472,13.99222933,14.95670773,18.5825471,17.29526228,15.19949064,14.5932831,13.60888584,15.16635833,15.45784974,14.86566895,16.71376664,14.8948847,14.84910215,16.19604762,18.54930303,22.36512056,16.40130926,16.15093189,12.0048728,15.84671661,15.60594716,18.79077673,15.30731695,15.60495146,19.26828945,11.23166928,13.51659422,21.21210218,18.58134752,13.74423692,14.37846743,17.91593274,14.06250633,18.33842085,18.83888683,18.14627609,19.27143234,13.71582017,17.82240468,17.26012505,12.98494098,18.47637661,15.21589087,17.92699759,22.15645237,14.53027258,15.33385862,15.23418446,18.75410994,17.37512894,16.13217684,14.47210987,10.72790034,14.9147217,16.63181685,19.31716488,16.17844495,15.50229849,18.70738101,17.30767703,16.80320555,15.91986933,20.6287245,15.81259956,16.78858774,13.67804103,13.85261457,16.52487645,17.69506968,13.71349653,14.44049494,19.39154653,17.20678177,29.15831582,13.19091355,16.20186339,17.06058899,12.81054901
Nuclei_Eccentricity,548.6929215,512.5292864,632.0706408,553.588664,554.4517285,570.3896935,577.1840094,586.794764,523.8492305,539.6161329,580.5559167,603.0003499,564.5197362,651.8082438,577.0693711,587.6804353,638.8535005,553.1762614,547.634063,624.5805271,630.3650948,701.9994854,541.0865935,595.5947435,606.705632,507.5934511,481.1336109,528.2330894,557.9300391,596.7285506,557.8576396,595.0996656,561.6361179,510.8866815,550.6711262,549.8499272,592.3064004,538.9421427,543.4634955,534.6547618,506.3963964,634.7063195,569.8611628,527.1537887,564.1975148,613.5546626,593.2378526,625.4258003,661.0248926,576.2863695,541.3378551,586.7764747,579.7239162,567.1321979,550.3707849,582.9166035,596.5702034,634.5830743,589.7733489,539.9442395,518.6025092,579.5022165,603.4367554,585.2073382,562.7980689,578.0701434,622.3841955,534.9957095,521.8436297,476.3739505,534.2694803,594.8005161,560.8748708,543.8895037,565.6934338,499.2559524,550.5588542,593.262273,604.4993613,596.1383026,540.8464451,528.8763659,573.224381,626.0549507,505.0931477
Nuclei_EquivDiameter,264.1504933,242.674732,274.1818085,253.1188889,242.8633416,246.5261982,219.9437816,250.1231155,222.7800428,251.4391039,256.6270699,251.1444416,237.3377131,267.4331404,243.2972649,255.3453212,272.1506693,222.2017668,239.8844777,277.8680132,289.9494922,286.0422804,261.6740627,278.1942482,244.1204861,216.3111709,213.3942879,241.1187262,253.9160073,256.1758287,258.7990425,267.2892121,248.2701377,223.766993,260.687011,239.2398128,234.3981051,244.2537828,242.3505802,202.883216,246.0140994,273.8295491,250.4745036,272.4248229,251.5819094,274.3457922,256.0372441,260.4644897,313.2072476,239.3672807,245.7115953,277.4687491,251.7792436,247.4750578,255.3038102,277.9203419,261.4392287,258.9462308,263.650811,221.7941998,233.7992876,271.0999349,268.3076974,264.4082005,257.0133855,259.7898922,254.0005599,235.3693788,217.6722278,216.4825873,246.3564269,260.4571986,231.7856746,237.8996271,227.2792499,235.4746104,239.3033008,242.2329463,262.4273228,264.3946117,259.8045029,221.4065103,230.9126723,260.7155375,190.9838439
Nuclei_MajorAxisLength,20.5731791,16.2032191,15.79706204,17.63422678,16.97138065,14.95174059,12.53686472,13.99222933,14.95670773,18.5825471,17.29526228,15.19949064,14.5932831,13.60888584,15.16635833,15.45784974,14.86566895,16.71376664,14.8948847,14.84910215,16.19604762,18.54930303,22.36512056,16.40130926,16.15093189,12.0048728,15.84671661,15.60594716,18.79077673,15.30731695,15.60495146,19.26828945,11.23166928,13.51659422,21.21210218,18.58134752,13.74423692,14.37846743,17.91593274,14.06250633,18.33842085,18.83888683,18.14627609,19.27143234,13.71582017,17.82240468,17.26012505,12.98494098,18.47637661,15.21589087,17.92699759,22.15645237,14.53027258,15.33385862,15.23418446,18.75410994,17.37512894,16.13217684,14.47210987,10.72790034,14.9147217,16.63181685,19.31716488,16.17844495,15.50229849,18.70738101,17.30767703,16.80320555,15.91986933,20.6287245,15.81259956,16.78858774,13.67804103,13.85261457,16.52487645,17.69506968,13.71349653,14.44049494,19.39154653,17.20678177,29.15831582,13.19091355,16.20186339,17.06058899,12.81054901
Nuclei_MinorAxisLength,410.0103484,243.0644559,243.1907713,292.7364528,271.9370318,214.8974077,144.6569531,185.1874344,205.6175891,342.3835684,289.2890505,222.7780889,210.2703405,166.6586562,226.9033535,235.6207968,206.7737598,274.6623135,225.743033,209.5341934,240.7708307,328.5680835,483.3255629,260.7261337,249.6207034,176.6102565,255.5563343,224.8666534,336.7920629,226.9031834,248.8109172,360.3519002,115.7368357,171.3947732,426.3531782,336.1673467,182.8985509,191.3685081,312.183748,198.3845016,329.6897498,344.0914913,324.8268445,347.235003,175.8729578,302.3845362,283.5347507,165.1222923,326.7418721,214.6003875,327.5646384,472.1551908,212.5184716,213.5792671,211.3807958,322.2273037,313.515329,254.6107816,193.2917736,109.3609511,236.5778876,287.8987072,365.5992457,255.4183191,234.2669171,338.2576668,303.2446496,288.1338669,246.6282366,411.1811427,229.1490825,256.4998069,198.8187256,178.4684029,260.8827318,289.8547881,177.0719449,196.6417252,391.4067434,275.0368006,822.1775296,170.8847941,258.4190695,265.4274705,153.3850403
Nuclei_Area,1.015852518,1.014713328,1.012683814,1.014408664,1.015506508,1.01415192,1.013725992,1.01511178,1.010161346,1.012054298,1.015051056,1.011893834,1.00969724,1.009261992,1.010764805,1.021920351,1.015952291,1.015133882,1.022226636,1.012947067,1.0123649,1.011875285,1.021507352,1.011748024,1.015471659,1.011976258,1.037470875,1.016303318,1.013882982,1.017014206,1.021634044,1.017630292,1.009562441,1.017001224,1.01589179,1.012136344,1.014044123,1.01035544,1.014477098,1.011941013,1.025421872,1.020404219,1.020614749,1.017460891,1.008997544,1.010739048,1.012343955,1.008845106,1.013247058,1.011665207,1.01897778,1.013393402,1.009276845,1.013401002,1.014323217,1.015072191,1.013702592,1.011668885,1.009630672,1.010854523,1.018852903,1.015354453,1.016957051,1.01384611,1.013907128,1.021929406,1.025293629,1.026291128,1.024513952,1.025981137,1.01582889,1.014830837,1.019647289,1.01173084,1.023465874,1.016653649,1.015768077,1.011711798,1.018985864,1.015184095,1.017424778,1.023867201,1.01468761,1.012155929,1.014492503
 Autocorrelation,0.001897694,0.002067044,0.001889601,0.001963139,0.002206165,0.002057354,0.002357065,0.002252255,0.0016003,0.001696983,0.001840858,0.001827534,0.001505764,0.001652507,0.001621878,0.003018017,0.002375279,0.002072319,0.002757249,0.002150051,0.001950765,0.001748971,0.002271438,0.001608767,0.002018217,0.001978012,0.004503215,0.002347112,0.001600073,0.002480333,0.003118642,0.0022336,0.001729865,0.002774342,0.001812449,0.001419208,0.002255434,0.001734958,0.002060631,0.001703186,0.003485915,0.002191078,0.001983118,0.002502936,0.001675128,0.001663956,0.001513313,0.001653744,0.002174913,0.001649046,0.002470658,0.001689723,0.001549758,0.002400867,0.002137289,0.002331154,0.001876033,0.001734693,0.001583275,0.001632699,0.002245633,0.00204502,0.002105423,0.001783922,0.002171013,0.002446468,0.002609437,0.002811832,0.002892745,0.002372303,0.002467624,0.002128503,0.002117605,0.001669077,0.003134789,0.002330421,0.002082292,0.00159835,0.002550152,0.002086762,0.001705354,0.003259661,0.001935048,0.001943533,0.002111629
 Contrast,0.868693336,0.866334271,0.857447411,0.864547791,0.857850531,0.863047911,0.849996533,0.864195086,0.836252285,0.835656572,0.876664513,0.850188289,0.831716689,0.834449212,0.846125445,0.872914949,0.871182755,0.855992445,0.887044302,0.847079364,0.854240246,0.854212864,0.893878756,0.863798912,0.876881252,NaN,0.902724749,0.863202884,0.876963959,0.870950528,0.872761414,0.876271712,0.842605509,0.855002503,0.876550482,0.871663067,0.845841896,0.834852645,0.852690122,0.848946346,0.876312796,0.89553717,0.910619497,0.864195483,0.815711955,0.836312561,0.872203796,0.830305089,0.842705222,0.867114733,0.87792848,0.857521015,0.831047024,0.830677745,0.854933344,0.848270047,0.850116239,0.848957703,0.842211813,0.86953996,0.87613784,0.86984805,0.881351939,0.870406848,0.855816239,0.895823691,0.902124051,0.903625139,0.893505609,NaN,0.855852321,0.867596452,0.891118609,0.86384259,0.876037554,0.865642323,0.877764651,0.861993397,0.866717502,0.866772073,0.876438852,0.884571257,0.873861379,0.844083828,0.862366492
 Correlation,0.868693336,0.866334271,0.857447411,0.864547791,0.857850531,0.863047911,0.849996533,0.864195086,0.836252285,0.835656572,0.876664513,0.850188289,0.831716689,0.834449212,0.846125445,0.872914949,0.871182755,0.855992445,0.887044302,0.847079364,0.854240246,0.854212864,0.893878756,0.863798912,0.876881252,NaN,0.902724749,0.863202884,0.876963959,0.870950528,0.872761414,0.876271712,0.842605509,0.855002503,0.876550482,0.871663067,0.845841896,0.834852645,0.852690122,0.848946346,0.876312796,0.89553717,0.910619497,0.864195483,0.815711955,0.836312561,0.872203796,0.830305089,0.842705222,0.867114733,0.87792848,0.857521015,0.831047024,0.830677745,0.854933344,0.848270047,0.850116239,0.848957703,0.842211813,0.86953996,0.87613784,0.86984805,0.881351939,0.870406848,0.855816239,0.895823691,0.902124051,0.903625139,0.893505609,NaN,0.855852321,0.867596452,0.891118609,0.86384259,0.876037554,0.865642323,0.877764651,0.861993397,0.866717502,0.866772073,0.876438852,0.884571257,0.873861379,0.844083828,0.862366492
 Cluster Prominence,0.104856827,0.123485648,0.120831029,0.112294997,0.123138941,0.145743098,0.178078074,0.17272982,0.069126265,0.068794763,0.130932562,0.104828238,0.069012372,0.083799733,0.085842035,0.291877265,0.184011621,0.114455272,0.279045617,0.127350864,0.108915665,0.0924075,0.164151781,0.096070869,0.156683195,0.123337245,0.60806713,0.154084374,0.093908445,0.190055755,0.26050296,0.144046735,0.100122066,0.181040282,0.100817893,0.076639685,0.141125293,0.079768744,0.11532512,0.096363936,0.273530407,0.223623169,0.220860391,0.140374799,0.067390517,0.067543289,0.090898035,0.085492652,0.1049937,0.095235304,0.171137018,0.077562404,0.07162708,0.110650088,0.127461235,0.113601521,0.101007107,0.096786333,0.074266973,0.142024232,0.200010721,0.143114283,0.150472119,0.123783785,0.135744984,0.231933261,0.332494848,0.335768154,0.296723859,0.232975199,0.145437771,0.135591917,0.283162481,0.10878718,0.280000207,0.129131357,0.194366685,0.105286884,0.162541747,0.140266824,0.088235412,0.377885239,0.144341871,0.092967743,0.157875457
 Cluster Shade,0.001091125,0.001016551,0.000859153,0.001013393,0.001132539,0.000938804,0.000941397,0.000947332,0.000909298,0.001051679,0.000894425,0.000862265,0.000816946,0.000788355,0.000832899,0.00119461,0.00098477,0.001075968,0.001076671,0.000938833,0.000941103,0.0008829,0.001163116,0.000794256,0.000900549,0.000865224,0.001460357,0.001076035,0.00086337,0.001030863,0.001244679,0.001085427,0.000737026,0.001187263,0.001063346,0.000843109,0.00099072,0.000906937,0.001080853,0.000854705,0.001468882,0.000926346,0.000842088,0.001231037,0.000870725,0.000968352,0.000800824,0.000766305,0.001080604,0.000807486,0.0011513,0.001032479,0.000799183,0.001197468,0.001032871,0.0012332,0.000998332,0.000880982,0.000809942,0.000627399,0.000961718,0.000934025,0.001008084,0.000845279,0.000992885,0.001045395,0.000965138,0.001077431,0.001134146,0.001107564,0.00115641,0.000982613,0.000784837,0.000767977,0.001302025,0.001185095,0.000837245,0.000769247,0.001214903,0.000983268,0.001103679,0.001099702,0.000863185,0.001001475,0.000921238
 Dissimilarity,0.993692334,0.995407335,0.996315341,0.995015399,0.994645498,0.996208896,0.996707902,0.996408003,0.995728618,0.994345231,0.995279891,0.996383186,0.996132948,0.996918167,0.996070872,0.995516161,0.99633771,0.994522781,0.99567319,0.996335167,0.996197393,0.995852167,0.99296655,0.996096985,0.99585363,0.996827342,0.994651443,0.995402635,0.994598704,0.996158109,0.995613496,0.994434275,0.997536651,0.995849854,0.993518013,0.994740703,0.996295541,0.996048937,0.994641344,0.995834604,0.994158249,0.995278457,0.995262482,0.994358323,0.996565989,0.995370101,0.995629333,0.997291203,0.995622792,0.99631483,0.994680305,0.993930557,0.996469295,0.995490402,0.995541493,0.994540982,0.995020406,0.996013829,0.996483056,0.997687032,0.995612057,0.995647,0.994973008,0.995795207,0.995913045,0.994858531,0.995409547,0.995091316,0.995145523,0.992871711,0.995297873,0.995753099,0.996387119,0.996480354,0.994782271,0.994337894,0.996530571,0.996322181,0.994397289,0.995536254,0.991380703,0.996252743,0.995971157,0.995704929,0.996120747
 Energy,0.025835165,0.020222419,0.016640553,0.021541002,0.02308446,0.017059235,0.015527484,0.016619178,0.01879732,0.023380279,0.020401449,0.016297177,0.017041588,0.014522923,0.017415933,0.020217545,0.016909135,0.023082795,0.019143492,0.016781566,0.017311758,0.018293415,0.028375572,0.017256837,0.018510175,0.014159824,0.022886792,0.020408037,0.022465684,0.017361392,0.019387074,0.023580011,0.011843844,0.018735832,0.026407745,0.021895333,0.016850019,0.017766011,0.022905376,0.018061104,0.024735838,0.020409773,0.020213034,0.023981067,0.015652532,0.020098029,0.018831692,0.012804639,0.019393725,0.016341321,0.022611652,0.024842392,0.015710434,0.02026974,0.019931743,0.023694968,0.020990441,0.017775537,0.016039669,0.011147842,0.018809951,0.01900407,0.021619266,0.018440202,0.018243942,0.022033941,0.019783202,0.021024969,0.020892848,0.028691995,0.020967628,0.018965663,0.016125655,0.015973783,0.022968878,0.024178398,0.015906949,0.016588754,0.023605085,0.019786277,0.032611682,0.017121548,0.017801819,0.019101402,0.01759317
 Entropy,0.999576839,0.999634419,0.999703373,0.9996258,0.999581177,0.99967563,0.999690628,0.999684663,0.999645847,0.999575826,0.999678712,0.999696342,0.999688193,0.999717067,0.99968973,0.999609777,0.999674581,0.999600418,0.999660909,0.999682115,0.999664805,0.99967871,0.999577974,0.999714241,0.999690147,0.999707615,0.999592252,0.999627629,0.999676552,0.999665795,0.999605701,0.999613422,0.999756362,0.999606035,0.999585423,0.999664643,0.999666734,0.999659978,0.999592843,0.999687683,0.99952379,0.999693866,0.999720286,0.999561933,0.999677784,0.999620456,0.999702451,0.999730929,0.999611487,0.99971433,0.999599355,0.999588472,0.999705717,0.999564582,0.999630018,0.999539227,0.999625114,0.99967527,0.999701741,0.999801107,0.999681042,0.999676307,0.999643841,0.999700664,0.999655831,0.999654358,0.99970694,0.999667648,0.999646768,0.999613747,0.999594033,0.999659357,0.999752939,0.999732226,0.999567927,0.999567349,0.9997268,0.999723774,0.99957287,0.999654287,0.999546996,0.999682445,0.999706257,0.99963262,0.99968698
 Homogeneity,0.999535036,0.999596751,0.999672271,0.999588068,0.999540929,0.999640518,0.999660368,0.999652574,0.999614299,0.999538687,0.999646419,0.999664944,0.99966009,0.999690889,0.999661613,0.999573052,0.999641542,0.999561376,0.999623624,0.999649379,0.999630018,0.9996449,0.999529264,0.99968391,0.99965902,0.999676537,0.999545677,0.999588475,0.99964195,0.999627628,0.999560796,0.999571984,0.99972946,0.99956278,0.999543228,0.999636004,0.999630249,0.999628773,0.999556747,0.999657042,0.99946712,0.999660809,0.999691237,0.999511655,0.999644936,0.999585359,0.999670786,0.99970385,0.999569093,0.999680364,0.999555886,0.999549485,0.999674764,0.999521341,0.999593712,0.999493097,0.999588517,0.999644517,0.999672116,0.999780571,0.999646352,0.999642427,0.99960479,0.999670921,0.999618105,0.999616472,0.999673648,0.999628966,0.999605057,0.999572514,0.999551857,0.999623246,0.999729289,0.999704805,0.999524997,0.999521767,0.999699345,0.999697751,0.999525656,0.999618282,0.999508328,0.999646771,0.999673773,0.999593435,0.999654637
 Maximum probability,0.996837679,0.997699733,0.99815489,0.997502861,0.997317068,0.998101635,0.998351837,0.998201526,0.997860751,0.997165527,0.997635257,0.998188887,0.998062959,0.998457389,0.99803197,0.997753644,0.998166361,0.997254462,0.997832648,0.998164983,0.998096123,0.997922699,0.996473071,0.998045313,0.997923398,0.998410502,0.997319896,0.997697361,0.997293341,0.998076302,0.997802818,0.997210985,0.998767158,0.997921627,0.996750732,0.99736413,0.998145055,0.998021469,0.997314461,0.99791276,0.997072476,0.99763435,0.99762603,0.997173426,0.998280708,0.997681014,0.997810599,0.998644053,0.997807955,0.998154759,0.997334113,0.996957795,0.998231847,0.997741623,0.997767043,0.997265214,0.997503703,0.998003636,0.998239251,0.998842386,0.997801055,0.997819167,0.997481504,0.99789364,0.997953207,0.997423852,0.997700014,0.997540732,0.997567882,0.996425029,0.997645074,0.997873312,0.998189902,0.998237744,0.997385657,0.997163135,0.998262755,0.998158218,0.997191842,0.997764238,0.995673422,0.998123429,0.997982049,0.997849148,0.998057359
 Sum of sqaures,0.985655186,0.984619584,0.982520524,0.984262296,0.985471565,0.984064786,0.983795658,0.985118691,0.979864075,0.981784438,0.984842,0.98170403,0.97935796,0.979005244,0.980476882,0.992265645,0.986014469,0.985032785,0.992439547,0.98291256,0.982231902,0.981642853,0.99145662,0.981448219,0.985354197,0.981863325,1.008479141,0.986340781,0.983555275,0.987120531,0.992031896,0.987594965,0.979347347,0.987252169,0.985650096,0.981730217,0.98405467,0.980126975,0.984376858,0.981685471,0.99596694,0.990342114,0.99044704,0.987560303,0.97875023,0.980467374,0.981988773,0.97859392,0.983216635,0.981386983,0.989054142,0.983108668,0.978964082,0.983481714,0.984267518,0.985101575,0.983516072,0.981432008,0.979332631,0.980586108,0.988829316,0.985247926,0.986866455,0.983619408,0.983874325,0.991982205,0.995416694,0.996507614,0.994778832,0.995954,0.985927114,0.984769971,0.989566933,0.981463965,0.993855063,0.986671797,0.985688699,0.981408741,0.989099971,0.985100079,0.98710648,0.994333898,0.984533649,0.982017363,0.984430031
 Sum average,2.009011013,2.007796338,2.006518992,2.007846781,2.008425706,2.007077265,2.006475958,2.007259207,2.005854408,2.00721179,2.007895184,2.006245595,2.005504443,2.004937914,2.005911585,2.009932595,2.007610475,2.008342583,2.010074889,2.006610041,2.006511194,2.006498371,2.011559443,2.006311273,2.007722455,2.00600418,2.015217619,2.008330796,2.007836221,2.008138848,2.010007084,2.009369863,2.00477062,2.00834662,2.009109907,2.007037728,2.007049313,2.005781511,2.007949027,2.006488513,2.012248071,2.009736472,2.009845944,2.009377122,2.005069331,2.006281092,2.006783152,2.004618462,2.007191911,2.006225528,2.009743457,2.007932512,2.005182672,2.007271613,2.007520009,2.008344206,2.007586679,2.006291963,2.005336726,2.004993579,2.009088219,2.007861948,2.008800714,2.00720454,2.007158398,2.01057016,2.011171112,2.011751263,2.011212814,2.013173473,2.008225557,2.007644505,2.008540397,2.006082295,2.011002748,2.009061199,2.007333787,2.006129398,2.009925555,2.007826948,2.010583603,2.009962594,2.007411593,2.006698242,2.007164491
 Sum variance,3.967410699,3.984011435,3.989143533,3.97785246,3.976727281,3.993723393,3.998370126,3.999285811,3.97128337,3.961745219,3.984103157,3.987394449,3.975839321,3.983675823,3.978610179,4.013550282,4.001677902,3.975066219,4.017922545,3.990098437,3.985761729,3.979886972,3.980067334,3.982939395,3.993095395,3.996099219,4.065761348,3.989709177,3.971634689,4.003895282,4.015158159,3.982818889,3.994887197,3.999380137,3.96526379,3.966665884,3.994143696,3.976015064,3.973091694,3.980844605,4.009869638,4.005012068,4.006114486,3.981347945,3.97875721,3.968891748,3.979237545,3.988605604,3.98184046,3.98606234,3.991965843,3.961300829,3.979336344,3.979665773,3.983649942,3.973261902,3.977224435,3.980920311,3.979436875,4.002353678,4.005154602,3.990867112,3.987467441,3.986621306,3.988531444,4.005027564,4.027027901,4.026353831,4.020011194,3.995502025,3.986213178,3.989001099,4.018513682,3.987595472,4.009219221,3.97732949,4.004244954,3.985060031,3.988608453,3.987354126,3.947314527,4.032975793,3.992613814,3.978421039,3.99307885
 Sum entropy,0.02451918,0.019245845,0.015883178,0.020463204,0.021906429,0.016244141,0.01472739,0.015858383,0.01777069,0.022091824,0.019505615,0.015515207,0.016139851,0.0137709,0.016541766,0.019278271,0.016129351,0.021920782,0.018421215,0.015972593,0.01642704,0.017361936,0.027086371,0.016433285,0.017712824,0.0134535,0.022095613,0.019476491,0.021408986,0.016661051,0.018613016,0.022506339,0.011278466,0.017854308,0.02507552,0.020867106,0.016078735,0.016809965,0.021756934,0.017179325,0.023816048,0.019694776,0.01957687,0.022773194,0.014746622,0.018965429,0.017935305,0.01211797,0.018349672,0.015575081,0.021615403,0.023540191,0.014851385,0.019107699,0.018965035,0.022372689,0.019895241,0.016893167,0.015186217,0.010676187,0.018119786,0.018160872,0.020632896,0.017653167,0.017330664,0.021281412,0.019165435,0.020383113,0.020216913,0.027705368,0.019910318,0.018125912,0.015534099,0.015262303,0.021939214,0.022933164,0.015227907,0.015862805,0.022486696,0.018882426,0.031108329,0.016416032,0.017028198,0.018058909,0.016760857
 Difference variance,0.001897694,0.002067044,0.001889601,0.001963139,0.002206165,0.002057354,0.002357065,0.002252255,0.0016003,0.001696983,0.001840858,0.001827534,0.001505764,0.001652507,0.001621878,0.003018017,0.002375279,0.002072319,0.002757249,0.002150051,0.001950765,0.001748971,0.002271438,0.001608767,0.002018217,0.001978012,0.004503215,0.002347112,0.001600073,0.002480333,0.003118642,0.0022336,0.001729865,0.002774342,0.001812449,0.001419208,0.002255434,0.001734958,0.002060631,0.001703186,0.003485915,0.002191078,0.001983118,0.002502936,0.001675128,0.001663956,0.001513313,0.001653744,0.002174913,0.001649046,0.002470658,0.001689723,0.001549758,0.002400867,0.002137289,0.002331154,0.001876033,0.001734693,0.001583275,0.001632699,0.002245633,0.00204502,0.002105423,0.001783922,0.002171013,0.002446468,0.002609437,0.002811832,0.002892745,0.002372303,0.002467624,0.002128503,0.002117605,0.001669077,0.003134789,0.002330421,0.002082292,0.00159835,0.002550152,0.002086762,0.001705354,0.003259661,0.001935048,0.001943533,0.002111629
